# Mechanism-tag precision audit (#MECH-PRECISION).
# 325 (mechanism, PMID) pairs sampled from the frozen corpus: up to 15 per
# mechanism, seed 23. Each pair was adjudicated by an independent LLM agent that
# read the article and judged whether it genuinely concerns that therapeutic
# mechanism. Agents were blocked from reading scripts/config.py and tags/.
# These are MACHINE adjudications, not human labels. Verdicts are yes /
# borderline (mentioned as context, not studied) / no (false positive).
mechanism,pmid,verdict,reason,likely_trigger
epigenetic,40573134,yes,"Epigenetic modulation is the studied mechanism of the intervention: ""combinatorial treatment induced a protective epigenetic effect by inhibiting histone deacetylases (HDACs) and DNA methyltransferases (DNMTs)"", the canonical epigenetic-therapy targets.",
epigenetic,40589931,yes,"Titled ""Nanotechnology-driven Epigenetic Cancer Therapy"", it reviews nanocarrier delivery of DNMT inhibitors 5-azacytidine and decitabine, i.e. epigenetic therapy is the subject.",
epigenetic,40846970,yes,"Epigenetic therapy is reviewed as an actual treatment strategy, not just a hallmark: ""combining ICIs with epigenetic modulators to reverse immunosenescence shows preclinical promise. For example, decitabine plus anti–PD-1 sustains ... JunD in CD8+ T cells"", plus HDACi tucidinostat and DNMT inhibitors.",
epigenetic,41322853,yes,"Epigenetic therapy is the review's thesis: ""combining sustained-release platforms with local epigenetic therapy and regenerative scaffolds represents the next frontier in NMIBC treatment"", with KDM6A/EZH2 named as the regulators to be delivered.",
epigenetic,41481741,yes,"An epigenetic drug class is applied therapeutically as a core finding: ""persister cell treatment with histone deacetylase inhibitors induces reactive oxygen species and sensitizes multiple persister cell types to GPX4 inhibition"" (panobinostat listed among drugs).",
epigenetic,41498910,borderline,"Epigenetics is invoked only as a carcinogenesis mechanism and an incidental metabolite effect, ""may drive carcinogenesis through chronic inflammation, genotoxic metabolite production, immune evasion, and epigenetic reprogramming"" plus butyrate's HDAC inhibition, with no epigenetic drug (DNMT/HDAC inhibitor) therapy reviewed.",epigenetic reprogramming / histone deacetylase (HDAC) inhibition by SCFAs
epigenetic,41757123,yes,"The trial reports ""Methylome changes in peripheral blood mononuclear cell (PBMCs) from small cell lung cancer (SCLC) patients treated with an epigenetic therapy,"" namely the hypomethylating agent guadecitabine plus carboplatin.",
frequency-therapy,29943219,no,"The only ""frequency"" content is thermal ablation -- ""radiofrequency ablation and microwave are thermal ablation techniques using radio waves. High- or medium-frequency currents cause frictional heating"" -- and the words electromagnetic/PEMF appear zero times.","""radiofrequency ablation"" / ""medium-frequency currents"" / ""microwave therapy"""
frequency-therapy,30448873,no,"The paper is a review of thermal/ablative energies for renal cancer - 'cryoablation (CA) and radiofrequency ablation (RFA)... microwave ablation (MWA), irreversible electroporation (IRE) and stereotactic ablative radiotherapy (SABR)' - with no pulsed electromagnetic field or frequency-based therapy anywhere; the only 'electromagnetic' use is 'MWA... uses electromagnetic waves through one or multip","""radiofrequency"" (radiofrequency ablation) and ""electromagnetic waves"" (microwave ablation heating)"
frequency-therapy,34577800,no,"This is a thermal/nonthermal ablation outcomes comparison -- ""To compare ablation zone involution following microwave ablation (MWA) or irreversible electroporation (IRE) of liver tumors"" -- with no pulsed electromagnetic field or frequency therapy anywhere; the microwave/RF terms denote heat-based ablation devices.","""radiofrequency"" (Radiofrequency Ablation MeSH term) and ""microwave"" ablation"
frequency-therapy,34975896,no,"The review covers thermal/electrical ablation plus immunotherapy, and the only frequency terms are ablation hardware descriptors, ""Radiofrequency (RFA) is one of the first-line therapies"" and MWA's ""higher frequency (900-2,450 MHz)""; no pulsed electromagnetic field or frequency-based therapy is studied.","Radiofrequency (RFA) / ""higher frequency (900-2,450 MHz)"""
frequency-therapy,35265206,no,"The review is about cryoablation, and the only frequency content is thermal-ablation comparators -- ""Accumulated comparative data of cryoablation versus heat-based ablation techniques (e.g., radiofrequency and microwave ablation)"" -- with no mention of electromagnetic or pulsed-field therapy anywhere in the text.","""radiofrequency ablation"" / ""Radiofrequency (RF)"" listed among heat-based ablation modalities"
frequency-therapy,35298796,no,"The paper compares thermal/ablative modalities -- ""Microwave Ablation, Radiofrequency Ablation, Irreversible Electroporation, and Stereotactic Ablative Body Radiotherapy"" -- with no pulsed electromagnetic field or frequency-based bioelectric therapy anywhere in the text.","""Radiofrequency"" (radiofrequency ablation, a thermal technique) matched as frequency therapy"
frequency-therapy,36505437,no,"No PEMF or field therapy exists in the paper; the only field/frequency language belongs to thermal ablation hardware — ""High-frequency alternating current at 375–480 kHz from the electrodes generates temperatures between 60°C and 100°C"" and ""MWA created electromagnetic field to force the polar molecules ... to keep realigning with the oscillating electric field"".","""electromagnetic field"" (describing microwave ablation) and ""high-frequency alternating current"" / ""radiofrequency ablation"""
frequency-therapy,36916200,no,"The review covers thermal ablation only -- ""Ablative techniques used in BC are cryoablation, radiofrequency ablation, microwave ablation, high-intensity focused ultrasound (US), and laser ablation"" -- with no pulsed electromagnetic field or bioelectric frequency therapy anywhere.","""radiofrequency ablation"" (and ""microwave ablation"") matching a frequency keyword"
frequency-therapy,39336577,no,"The only ""frequency"" content is thermal RFA -- ""The principle behind RFA is the induction of targeted thermal damage through the delivery of high-frequency alternating electric currents (365-500 kHz)"" -- not pulsed electromagnetic field therapy.","""radiofrequency"" / ""high-frequency alternating electric currents"" (radiofrequency ablation)"
frequency-therapy,39407914,no,"This is thermal microwave ablation simulation -- ""Microwave ablation (MWA) is the leading therapy method for treating patients with liver cancer ... This heat-based technique is used to destroy tumor cells locally"" -- not pulsed-electromagnetic-field / frequency therapy; the only field language is the COMSOL solve of ""The electromagnetic field propagating from the needle"" and a generator that ""ope","""electromagnetic field"" (and ""frequency"" of the 2.45 GHz microwave applicator)"
frequency-therapy,40278322,yes,"The paper is a primary PEMF experiment: ""Cells from the bladder cancer cell line HT-1197 were cultured and incubated with (treatment group) or without (control group) PEMF therapy for one hour each day for five days.""",
frequency-therapy,41002591,no,"The only electromagnetic content is a technical description of thermal microwave ablation, ""Microwave ablation uses dielectric hysteresis to create heat, which destroys tissue by heating it to deadly temperatures using an electromagnetic field typically between 900 and 2500 MHz"" — no pulsed-electromagnetic-field or frequency therapy is studied; the paper is about post-ablation 18F-FDG PET-CT predi","""electromagnetic field"" / ""microwave"" in the microwave-ablation device description"
frequency-therapy,41030443,no,"A melanoma case report of ""tumor regression ... following COVID-19 infection""; the only field-like exposure is thermal ""microwave ablation (MWA) of lesions in liver segments II/III/VII"", and no pulsed electromagnetic field or frequency therapy is used or discussed.","""microwave ablation"" (microwave/radiofrequency thermal ablation matched as frequency therapy)"
frequency-therapy,41310376,yes,"The study directly applies PEMF as an anticancer modality: ""whether PEMF exposure (1.5 mT, 75 Hz, sinusoidal) enhances spheroid sensitivity to doxorubicin (DOX).""",
frequency-therapy,41522099,no,"The review covers thermal and electroporative ablation only, ""radiofrequency ablation (RFA), microwave ablation (MWA), pulsed electric field (PEF) ablation, and cryoablation"", with no pulsed electromagnetic field or frequency-based therapy anywhere in the text.","""radiofrequency"" (in radiofrequency ablation) / ""pulsed electric field"""
hifu,17625013,yes,"HIFU is the treatment under investigation: ""Mice bearing MC-38 colon adenocarcinoma tumors were treated with thermal and mechanical HIFU exposure settings in order to independently observe HIFU-induced effects on the host's immunological response"".",
hifu,20866097,yes,"The review's declared aim is ""to explore the various types of nonsurgical tumor ablation methods currently used in cancer treatment"", with thermal therapies that ""include radiofrequency, microwave, high intensity focused ultrasound, and cryoablation"" plus nanoparticle enhancement, so HIFU is one of the modalities reviewed (though only one of four, and the full text is not in the corpus to confirm ",
hifu,23403455,yes,"The article is a dedicated HIFU review: ""the use of HIFU to non-invasively cause tissue necrosis in a defined target, a technique known as focused ultrasound surgery (FUS), has considerable potential for tumour ablation"".",
hifu,25205025,yes,"The review's stated purpose is ""to review the existing literature regarding the basis of various focal therapy techniques such as cryotherapy, microwave, laser, and high intensity focused ultrasound"", and it is indexed under High-Intensity Focused Ultrasound Ablation.",
hifu,29211405,yes,"A prospective clinical cohort in which ""Participants were treated with a single session of whole-gland HIFU ablation with the Ablatherm device"" for radio-recurrent prostate cancer.",
hifu,29566612,yes,"HIFU is one of the review's substantively developed modalities, with its own mechanism and clinical-outcome discussion: 'The thermal effect of HIFU is the primary mechanism of tissue destruction, whereby lipid membranes melt, proteins denature' plus post-HIFU prostate biopsy failure rates.",
hifu,30339360,yes,"HIFU is the therapy under development: ""Nanoparticle-Mediated Acoustic Cavitation Enables High Intensity Focused Ultrasound Ablation Without Tissue Heating"", reporting mechanical ablation ""after only 5 s of HIFU treatment"".",
hifu,30346394,yes,"HIFU is the modality being enhanced and characterised: ""plasmonic gold nanoparticles were simultaneously exposed to pulsed near-infrared laser light and high intensity focused ultrasound (HIFU) for the controllable nucleation of cavitation"", with CW exposures used to increase HIFU thermal damage.",
hifu,30773377,yes,"HIFU is the reviewed technology: ""magnetic resonance-guided high-intensity focused ultrasound (MRgHIFU) ... has been adapted for HT"" and the paper exists to ""summarize available ultrasound HT devices"" and their radiosensitization trials.",
hifu,33784931,yes,"Focused ultrasound thermal ablation is the intervention: ""we investigated the ability of non-invasive focused ultrasound (FUS) to thermally ablate a biopsy confirmed canine oral cancer"" (MeSH: High-Intensity Focused Ultrasound Ablation).",
hifu,34487074,yes,"A systematic review of HIFU as therapy: ""The oncologic outcome of Hifu in a salvage setting after EBRT failure was investigated"" across 1241 patients.",
hifu,34944804,yes,"HIFU is the energy modality under review (34 occurrences): ""A high-intensity focused ultrasound (HIFU) beam is used to destroy or denature targeted cancer tissues ... In some SDTs, HIFU is combined with a drug, known as a chemical sonosensitizer.""",
hifu,36920492,yes,"It is a prospective HIFU trial: ""We conducted a single-center prospective study of 29 patients with PCa treated with (focal) HIFU between 2016 and 2021.""",
hifu,41228308,yes,"The article is a review of HIFU itself: ""High-intensity focused ultrasound (HIFU) has recently emerged as a novel non-invasive treatment modality in dermatology"", covering its mechanisms and efficacy in actinic keratoses and basal cell carcinomas.",
hifu,41622222,yes,"The study is built around ""high-intensity focused ultrasound (HIFU)-induced immune response"" and HIFU-induced postoperative hypoxia driving prodrug activation.",
immunotherapy,19823740,yes,"Immunotherapy is one of the review's core subjects: ""This review examines preclinical and clinical data on the interaction between immunotherapy and radiation, and discusses the potential synergy between these two modalities and angiogenesis inhibitors.""",
immunotherapy,26870371,yes,A clinical outcome study of cellular immunotherapy: '77 patients with HPC who received immunotherapy with DC vaccine and CIK cells' versus a non-immunotherapy control group.,
immunotherapy,29743117,yes,"Checkpoint blockade is the subject of the case report: ""the patient was initiated on a combination of ipilimumab and nivolumab. Within 2 months of starting immunotherapy, a robust partial response was observed.""",
immunotherapy,30853982,yes,"Checkpoint blockade is the review's core subject: ""we discuss the therapeutic potential of novel regimens combining immune checkpoint inhibitors with therapeutic interventions"" to improve cancer immunotherapy.",
immunotherapy,36223560,borderline,"The subject is allogeneic CAR T manufacturing and genome editing, not checkpoint blockade; the word ""immunotherapy"" never appears in the body and checkpoints enter only as an editing target, ""multiplexed editing incorporated to target HLA molecules, shared antigens and checkpoint pathways"".","""checkpoint pathways"" plus the MeSH term ""Immunotherapy, Adoptive"""
immunotherapy,36261831,yes,"The review is explicitly framed as immunotherapy -- ""CAR-T cell therapy ... represents a significant breakthrough in personalized immunotherapy for human cancer"" -- and closes by emphasizing ""the importance of CAR-T cell therapy in cancer immunotherapy.""",
immunotherapy,37142291,yes,"A randomized phase II trial of checkpoint blockade: ""Talimogene laherparepvec in combination with ipilimumab versus ipilimumab alone for advanced melanoma: 5-year final analysis"" (ipilimumab is anti-CTLA-4).",
immunotherapy,37338497,yes,"The review documents ""the application of specific intestinal microbiome in cancer immunotherapy, notably in enhancing the efficacy of immune checkpoint inhibitors"", making checkpoint blockade a substantive subject rather than a mention.",
immunotherapy,38787209,yes,"Checkpoint blockade response is the review's dependent variable: ""Perigastric/gut microbiota compositions/functions and their metabolites could be predictive of response to immunotherapy in GC patients and even overall survival"".",
immunotherapy,39568154,yes,"The study shows ""inhibiting METTL3 augments tumour immunogenicity and sustains T-cell function, thereby enhancing responsiveness to ICB therapy"", i.e. it directly studies checkpoint-blockade immunotherapy.",
immunotherapy,39751930,yes,"Immunotherapy response is an analysed endpoint, not a passing mention: ""Analyses based on two independent immunotherapy cohorts suggest that these immune-related chemokines strongly influence the immunotherapeutic efficacy of BUC.""",
immunotherapy,40047620,borderline,"The article is an adoptive-cell-therapy review, not checkpoint blockade -- ""chimeric antigen receptor T-cell (CAR-T cell) therapy is the state-of-the-art therapy"" -- and the single checkpoint hit is an incidental CAR design detail (""a recombinant CTLA-4-linked receptor with a 4-1BB costimulatory domain""), so it belongs under car-t rather than the checkpoint-blockade lane.","the bare word ""immunotherapy"" (""In the field of cell and immunotherapy"") plus the journal-title-like phrasing"
immunotherapy,40079683,yes,"A checkpoint-blockade trial analysis: ""secondary analysis of patient-level data from the IMbrave150 randomized controlled trial of atezolizumab plus bevacizumab versus sorafenib"", explicitly framed around ""Immune checkpoint inhibitors (ICIs).""",
immunotherapy,40414874,yes,"""Despite the encouraging developments in tumor immunotherapy..."" -- the nanoplatform's stated purpose is cGAS-STING-driven anti-tumor immune activation, with ICD and CD8 T-cell endpoints throughout.",
immunotherapy,41816606,borderline,"Immunotherapy appears only as an emergent bibliometric keyword in a scientometric map of ablation therapies — ""recent research attention has shifted toward outcome-related and integrative topics, including overall survival, irreversible electroporation, and immunotherapy"" — and the authors caution that ""bibliometric analysis does not assess underlying therapeutic mechanisms or clinical efficacy"".","the bare word ""immunotherapy"" appearing as a keyword-burst term in the results/discussion"
mRNA-vaccine,33641576,yes,"A full reviewed platform section, ""RNA VACCINE PLATFORM"", covers cancer neoantigen RNA vaccines including patients ""vaccinated with 0.5 or 1 mg mRNA per vaccination"" by BioNTech/Moderna-type constructs.",
mRNA-vaccine,35345451,yes,"""This review analyzes the advances in mRNA cancer vaccines from various perspectives, including the selection and expression of antigens/targets...""",
mRNA-vaccine,37744371,yes,"It is a dedicated cancer mRNA vaccine review: ""mRNA cancer vaccines have emerged as a promising novel approach to cancer immunotherapy"" with ""multiple therapeutic mRNA cancer vaccines ... evaluated in preclinical and clinical trials.""",
mRNA-vaccine,38063199,no,"The vaccine platform is peptide, not RNA — ""Peptide vaccines were prepared by diluting AddaVax at a 1:1 vol/vol ratio with peptides and 2'3'-c-di-AMP(PS)2"" — and the string ""mRNA"" occurs nowhere in the article body, only inside the tagger's own YAML fields (`mechanisms: mRNA-vaccine`, `neoantigen-profiling-to-mrna-vaccine`).","""personalized cancer vaccine"" / ""neoantigen vaccine"" being treated as an mRNA-vaccine keyword; the mechanism cannot have come from the text since ""mRNA"" is absent from it"
mRNA-vaccine,38782542,no,"The trial agent is a peptide vaccine, not mRNA -- ""Each EVX-01 vaccine comprises 5-10 synthetically manufactured peptides"" -- and the only mRNA words are a background aside (""using either peptides, mRNA, or DNA"") and ""mRNA sequencing data from tumor tissue"" used for neoantigen prediction.","""mRNA"" in ""using either peptides, mRNA, or DNA"" and in ""mRNA sequencing data"" (co-occurring with ""vaccine"")"
mRNA-vaccine,38976715,yes,"The paper designs a cancer (not infectious-disease) mRNA vaccine: ""We constructed an mRNA vaccine by analyzing S100 family proteins"" for pancreatic ductal adenocarcinoma.",
mRNA-vaccine,39247199,borderline,"The article is a bibliometric map of nanomedicine immunotherapy in which mRNA vaccines appear only as one of several burst keywords -- ""Emerging frontiers in the field, such as 'mRNA vaccine,' 'sonodynamic therapy,'... are experiencing rapid growth"" -- with a short descriptive paragraph, so cancer mRNA vaccines are surveyed as a trend rather than studied or reviewed as a subject.","the quoted burst-detection keyword ""mRNA vaccine"" in the keyword/hotspot listing"
mRNA-vaccine,40496863,borderline,"mRNA vaccines appear only as an enumerated sibling class -- ""cancer vaccines mainly contained peptide vaccines, mRNA vaccine, cell vaccine and oncolytic virus vaccine"" (3 mentions total in 35 KB) -- while the review's actual subject is peptide-based vesicle vaccines.","the list item ""mRNA vaccine"" / ""mRNA vaccines"" in the enumeration of cancer-vaccine classes"
mRNA-vaccine,40519325,yes,"The study's test article is a cancer mRNA vaccine: ""Galsome-NEO is a glycolipid-adjuvanted mRNA lipid nanoparticle (LNP) cancer vaccine encoding neo-epitopes for evaluation in a phase 1 study in patients with non-small cell lung cancer.""",
mRNA-vaccine,41088223,yes,"A cancer (not infectious-disease) mRNA vaccine is the therapeutic: 'siRNA targeting PCSK9 and mRNA encoding tumour antigens were encapsulated in a fluorinated lipid nanoparticle', concluding it potentiates 'the anti-tumour efficacy of the mRNA vaccine'.",
mRNA-vaccine,41208966,yes,"The paper designs a therapeutic cancer mRNA vaccine: ""This study presents an in silico designed mRNA vaccine against colorectal cancer (CRC)"" targeting tumor-specific antigens.",
mRNA-vaccine,41377933,yes,"It is a dedicated cancer mRNA vaccine review, not infectious disease: ""This review comprehensively synthesizes the recent advancements in mRNA cancer vaccine development"" covering ""mRNA-4157/V940, BNT122"" with checkpoint inhibitors.",
mRNA-vaccine,41597174,yes,"A narrative review of ""mRNA-based cancer vaccines targeting melanoma antigens"" across LNP and dendritic-cell delivery platforms, i.e. cancer (not infectious-disease) mRNA vaccines.",
mRNA-vaccine,41746058,yes,"The review covers therapeutic cancer mRNA vaccines in depth, e.g. ""personalized neoantigen vaccines and mRNA-based vaccines have shown promising preclinical and early-phase clinical results"" and the mRNA-4157/V940 plus pembrolizumab melanoma trial (""18-month RFS 79% vs. 62%"").",
mRNA-vaccine,41760870,yes,"A therapeutic cancer mRNA vaccine study, not an infectious-disease one: ""we designed and systematically compared two mRNA vaccine strategies... In the TC-1 murine model of HPV-driven cancer, both vaccine formulations effectively activated systemic antitumour immune responses.""",
metabolic-targeting,22439925,borderline,"This is a pure cancer-metabolism biology review (""We contend that altered metabolism has attained the status of a core hallmark of cancer"") with zero occurrences of ""therapeutic"" and only one passing therapy sentence about metformin being ""especially toxic to p53-deficient tumor cells.""","""metabolic reprogramming"" / ""cancer metabolism"" hallmark language rather than any therapy content"
metabolic-targeting,26919657,yes,"The study is explicitly about therapeutically reversing tumor metabolism: the AICAR+MTX combination produces ""an anti-Warburg rearrangement of metabolism"" and the authors ""nominate the AICAR+MTX combination as a potential cytostatic regime blunting Warburg metabolism.""",
metabolic-targeting,33482908,yes,"The paper pharmacologically targets tumour glycolysis: ""real time measurements of cellular bioenergetics ... to investigate the potential effects of PKM2 allosteric activator (DASA-58) in glucose rewiring.""",
metabolic-targeting,34070384,yes,"Beyond oncometabolite biology the review covers therapy directly: ""the accumulation of oncometabolites ... stimulated the development of novel targeted therapies"", with sections on the IDH inhibitors enasidenib, ivosidenib, olutasidenib and vorasidenib.",
metabolic-targeting,34642211,borderline,"Metabolic targeting is one listed option in a gene-centric review, appearing as ""the exploitation of mitochondrial oxidative phosphorylation inhibitors or AURKA inhibitors, in SMARCA4-aberrant cancers"" plus a single explanatory paragraph (""decreased glycolysis and increased dependence on mitochondria respiration""), and is never studied or reviewed as a subject.","""mitochondrial oxidative phosphorylation inhibitors"" / ""glycolysis"" in a one-paragraph aside"
metabolic-targeting,34771718,borderline,"The review is pure mechanism -- it ends ""metabolic reprogramming (the Warburg effect)... leading to tumor growth under normoxic conditions"" with no therapeutic section, and the single therapy sentence is about WNT being ""a promising target for an anticancer therapy"", not about targeting metabolism.","""metabolic reprogramming"" / ""Warburg effect"" / ""aerobic glycolysis"" (metabolism biology, not metabolic therapy)"
metabolic-targeting,36479819,yes,"The catalysts ""efficiently oxidize intratumoral lactate ... reducing glucose supply and inducing mitochondrial damage via lactate depletion, thus reprogramming glycometabolism"" -- tumour metabolism is the therapeutic target under study.",
metabolic-targeting,38973161,yes,"Metabolic reprogramming is a designed therapeutic component: ""loading of glycolysis inhibitor, 2-deoxy-D-glucose (2DG)"" so that ""the released 2DG markedly inhibits lactate generation through glycolysis obstruction"".",
metabolic-targeting,39305483,yes,"Targeting tumour metabolism is the object of study: ""Targeting the distinct metabolic needs of tumor cells has recently emerged as a promising strategy for cancer therapy"", ending in ""metabolism-targeted cancer therapies"" such as ETC inhibition.",
metabolic-targeting,39376991,yes,"Targeting tumour metabolism is the paper's thesis: ""Given the central role of mitochondria in cancer, they are attractive targets for therapy. Therefore, targeting this altered metabolism is a potential therapeutic strategy in cancer treatment"".",
metabolic-targeting,40089067,borderline,"Tumour metabolism is the subject but no metabolic therapy is developed or tested; the only therapeutic gesture is a closing line calling for ""targeted clinical strategies to disrupt these processes,"" the paper itself being about ""EV-mediated intercellular communication can regulate energy metabolic reprogramming.""","""metabolic reprogramming"" / ""glycolysis"" / ""Warburg effect"" as tumour biology rather than as a therapeutic target"
metabolic-targeting,40277923,yes,"The review is squarely about drugging tumour metabolism: ""Tumor metabolism has emerged as a critical target in cancer therapy"", with TIGAR's control of glycolysis versus the pentose phosphate pathway evaluated ""as a diagnostic marker and a therapeutic target"".",
metabolic-targeting,40385494,borderline,"Metabolism appears only as a biology-context section (""mROS and Metabolic Reprogramming""), while every therapeutic section is redox/cell-death based -- the aim is ""mROS-targeted nanoparticles that artificially manipulate ROS levels in the mitochondria to achieve precise delivery of antitumor drugs"", not inhibition of a metabolic pathway.","""metabolic reprogramming"" / ""oxidative phosphorylation"" (mitochondrial biology context, plus the single Gboxin OXPHOS-inhibitor example)"
metabolic-targeting,41261087,no,"Metabolism appears only as a descriptive readout of oncolytic virus treatment - 'multi omics integrated analysis (transcriptomics, metabolomics, and single-cell RNA sequencing)... gene expression changes, metabolic reprogramming' - and the sole 'glycolysis' hit is a metabolite-database description ('spanning crucial metabolic pathways such as glycolysis, TCA cycle'), with no metabolic agent tested","""metabolomics"" / ""metabolic reprogramming"" (omics profiling readout, not a metabolic therapeutic)"
metabolic-targeting,41303512,yes,"Metabolic targeting is the stated strategy: ""Targeting metabolic and oxidative vulnerabilities in the TME offers a promising strategy"", testing ""dichloroacetic acid (DCA), a mitochondrial function modulator"" (a PDK inhibitor) as a ""redox-metabolic approach"".",
microbiome,34162429,yes,"""It has emerged that the intestinal microbiome can modulate responses to ICIs... targeting the microbiome may be a viable strategy to reprogram the tumor microenvironment"".",
microbiome,34544375,yes,"The study is a strain-level microbiome analysis of FMT: ""we analyzed the data sets from two recent publications with a microbial strain-tracking tool to determine if donor strains were dominant in the recipient feces following FMT"" to enhance anti-PD-1 therapy.",
microbiome,37261348,yes,"Titled ""Gut microbiome homeostasis and the future of probiotics in cancer immunotherapy"", it develops probiotic/FMT microbiome manipulation as a ""living adjuvant"" to checkpoint blockade.",
microbiome,37955340,yes,"The microbiome is the subject throughout: ""The gut microbiome modulation has been investigated as a potential therapeutic strategy for cancer"" via ""probiotics, FMT or other microbiome-related approaches"" in renal cell carcinoma.",
microbiome,38076985,yes,"The paper is titled ""Dissecting the Impact of the Gut Microbiome on Cancer Immunotherapy"" and models ""gut microbiome data derived from preclinical studies on melanomas after fecal microbiota transplant"" against immunotherapy response.",
microbiome,38617537,yes,"The review's subject is microbiome-based intervention: 'we discuss the effects of diverse microbiome-based strategies, including probiotics, prebiotics, fecal microbiota transplantation, and the targeted modulation of specific microbial taxa'.",
microbiome,38654015,yes,"The gut microbiome is the studied causal and therapeutic axis: ""Fecal microbiota transplantation (FMT) from patients with high PCa volume is sufficient to stimulate the growth of mouse PCa revealing the existence of a gut microbiome-cancer crosstalk"", modulated by omega-3 supplementation.",
microbiome,40300858,yes,"The gut microbiome is the subject: ""Emerging strategies to restore a balanced microbiome and boost treatment outcomes include dietary interventions, supplementation with beneficial microbes, and fecal microbiota transplantation.""",
microbiome,40792105,yes,"The study is a metagenomic analysis of the gut microbiome and cancer therapy response: ""this study aimed to elucidate gut microbial signatures associated with immune response in lung cancer (LC) and to evaluate the modulatory effects of antibiotic exposure"".",
microbiome,41250081,yes,"A meta-analysis of 69 studies/102 cohorts investigating ""the influence of drug interventions, including PPIs, antibiotics and probiotics on gut microbiome dynamics and ICI effectiveness"" - the microbiome is the study's object.",
microbiome,41301443,yes,"The microbiome is the review's subject: ""Fecal microbiota transplantation, probiotics, targeted antibiotic interventions, and dietary modifications are among the strategies that are under investigation in clinical trials.""",
microbiome,41356485,yes,"The review is titled ""Gut microbiota and colorectal cancer: mechanistic insights, diagnostic advances, and microbiome-based therapeutic strategies"" and evaluates probiotics, FMT and bacteriophage therapy as adjunctive strategies.",
microbiome,41469665,yes,"Whole review is microbiome-targeted therapy: ""This review summarizes current insights into microbiota-immune interactions in pancreatic cancer, emphasizes microbiome-targeted therapeutic strategies"", covering probiotics and FMT.",
microbiome,41496455,yes,"Microbiome modulation is the therapy under review: ""Fecal microbiota transplantation (FMT) has emerged as a groundbreaking strategy for modulating the gut microbiome and improving cancer treatment outcomes"".",
microbiome,41622931,yes,"The whole review is gut-microbiome-based therapy: ""fecal microbiota transplantation (FMT) has been proposed as a potential immunomodulatory strategy. It enhances host immune responses ... by regulating the gut microbiota.""",
nanoparticle,20866097,yes,"The review's subject is nanoparticle-assisted ablation: ""nanoparticles can deliver anticancer therapeutics that show a synergistic antitumor effect in the presence of heat"" and ""Understanding the molecular mechanism of nanoparticle-mediated tumor ablation"".",
nanoparticle,30348269,yes,"Nanoparticle delivery is the intervention evaluated: ""Drug-delivery nanoparticles are commonly used in nanomedicine to enhance drug-therapeutic efficiency. This study evaluated the photodynamic effects following treatment with 0.3 μM multiple particles delivery complex (MPDC)"" of Zinc-Phthalocyanine-gold dendrimeric nanoparticles.",
nanoparticle,35128843,yes,"""Using glutathione-responsive degradable mesoporous silica nanoparticles loaded with SB525334, an inhibitor of TGF-β1 receptor"" -- nanoparticle delivery is the paper's central intervention.",
nanoparticle,35265206,yes,"The review's stated subject includes nanoparticle delivery: ""nanocarriers may serve as excellent catalysts for the cryoablation therapy, imaging guidance, and the co-delivery of therapeutics"" and it ""discusses ... theranostic nanoparticles-mediated cryotherapy.""",
nanoparticle,35889257,yes,"Zinc oxide nanoparticles are a studied arm: ""we investigate the activity of TTFs, a sub-lethal dose of ZnO NPs, and their combination"" across HepG2, HT-29 and MCF-7 cells.",
nanoparticle,36618068,yes,"The delivery vehicle is a genuine lipid nanoparticle carrier: the mRNA was 'encapsulated into (2,3-dioleacyl propyl) trimethylammonium chloride (DOTAP)-based cationic liposomes to obtain the mRNA vaccine (LPX-mLMP2)', with biodistribution and uptake characterized.",
nanoparticle,37980476,yes,"The whole study develops a nanoparticle therapeutic platform: ""This study introduces pH-ultrasensitive PtMn nanoparticles as a novel platform for enhanced ferroptosis-based cancer theranostics.""",
nanoparticle,38895146,yes,"The review explicitly surveys ""various nanomaterials"" and ""nanosystems as inducers of ICD in combination with tumor immunotherapy"", i.e. nanoparticle-based delivery is the subject.",
nanoparticle,39191130,yes,"The therapeutic agent is an engineered nanomaterial: ""we use oxygen vacancy and ZnO quantum dots decoration techniques"" on BaTiO3 as a sonosensitizer for cancer sonodynamic therapy (MeSH: Quantum Dots).",
nanoparticle,39282574,yes,"The review of ovarian-cancer targeted drug delivery systems covers ""drug conjugate delivery systems, nanoparticle drug delivery systems, and hydrogel drug delivery systems"", with nanoparticle delivery a core subject (MeSH: Nanoparticle Drug Delivery System).",
nanoparticle,40319304,yes,"Nanoparticle delivery gets a substantive reviewed section, not a passing mention: pyroptosis inducers ""can be classified into five major categories: non-metallic nanoparticles, metallic nanoparticles, quantum dots, biological nanoparticles, and carrier-mediated drugs"", with engineered nanocarriers named as a therapeutic strategy in the abstract.",
nanoparticle,40775400,yes,"The whole paper synthesises and tests a therapeutic nanoparticle: ""we synthesized beta-cyclodextrin (betaCD) capped CuO NPs (CuONPs@betaCD)"" and assessed their anticancer and photothermal tumour therapy performance.",
nanoparticle,41273281,yes,"Nanoparticle delivery is central: ""lipid nanoparticles (LNPs) codelivering mutant KRAS G12D mRNA and the STING agonist, cGAMP, reprogram tolerogenic hepatic antigen-presenting cells"" plus silicasome carriers.",
